Press,Headline,Analysis
매일경제,“잡스에게 영감 받은 전기차”…애플이 아니고 중국 이 회사가 낸다고?,부정
머니투데이,"테슬라-인도 결국 손잡나? ""공장 설립·전기차 수입 계약임박""",중립
연합뉴스,"전기차업계 어려움 가중되니…도요타 회장 ""내가 말했잖아""",부정
한국경제,'전기차 vs 하이브리드' 승자는 누구?…제대로 맞붙는다,중립
연합뉴스,"전기차 굴기?…中 CATL, 인니 최대 니켈회사에 6천억 지분투자",중립
중앙일보,"""테슬라 따라잡겠다""…'대륙의 실수' 샤오미, 전기차 자신감",중립
한국경제,'龍의 해' 신차 쏟아진다…저가 전기차·하이브리드카 大戰,중립
연합뉴스,전기차 충전기 산업 육성…2030년 세계점유율 10% 목표,중립
연합뉴스,美서 쌓여가는 전기차 재고…자동차 가격 1천만원씩 할인 경쟁,부정
머니투데이,"""중국산 덤핑 전기차, 그냥 안둔다""…美, 관세 인상 검토",부정
IT동아,[EV 시대] 전기차 전용 타이어 상용화 현황 살펴보니,중립
쿠키뉴스,“전기차 배터리 커지는데”…높아지는 주차장 붕괴 위험,부정
노컷뉴스,"""1회 충전 500㎞ 거뜬""…BMW i5, 전기차를 뛰어넘다",긍정
쿠키뉴스,겨울철 전기차 ‘불법 개조’ 성행…“사고는 운전자 책임”,부정
YTN,전기차 시장 '가격 경쟁' 심화...물밑 기술혁신도 치열,중립
매일경제,"[단독] 사우디 전기차, K중기가 만든다…산단 만들고 내년부터 생산",긍정
지디넷코리아,"어차피 가야할 길은 전기차…""새해 상저하고 그릴 듯""",중립
파이낸셜뉴스,"전기차 vs. 하이브리드 2차전? 테슬라, 도요타 하이브리드 수렁에 빠지나",부정
머니투데이,"""생각보다 안 팔리네"" 전기차, 가격 낮춘다…'양산차' 중심 시장 재편",부정
YTN,"""순식간에 1,500℃까지 발화""...전기차 화재 진압 방법 고심",부정
조선일보,전기차 사러 왔다가 하이브리드 몰고 나가는 이유,부정
문화일보,제동 걸린 전기차 전환[오후여담],부정
뉴시스,"캐나다, 2035년까지 모든 차량 ‘전기차 의무화’ 공식 발표",긍정
머니투데이,"'프리미엄' 볼보도 4000만원대 전기차 출시…""높은 가격이 걸림돌""",중립
머니투데이,美 '턱밑'에 몰리는 中전기차…멕시코로 가는 덴 이유가 있다,중립
머니투데이,"전기차 줄인다더니 ""더 생산""…'파업' UAW 잠정합의안 보니",부정
연합뉴스,"中전기차에 잇단 러브콜…스텔란티스, 링파오 지분 21% 매입(종합)",긍정
전자신문,“한국 전기차 경쟁력은 배터리…약점은 자율주행·혁신성”,중립
데일리안,순수내연기관·전기차 모두 넘어섰다…하이브리드 ‘질주’,긍정
데일리안,"""전기차 잘만 팔리는데?""… 테슬라, 올해 수입차 3위 노린다",긍정
매일경제,“전기차 수요 둔화 우려 과장…2040년엔 승용차 절반이 전기차”,중립
머니투데이,"테슬라 정조준한 '대륙의 실수'…샤오미, 애플 앞서 전기차 출시",중립
중앙일보,시대 잘못 타고난 죄?…가속·소음 만족한 대형 전기차 EV9,중립
한국경제TV,생산·인력 감축 '러시'…전기차의 '돌변',부정
지디넷코리아,"테슬라, 3천만원대 전기차 내놓는다",중립
SBS,[스프] 8백억 쓰는 전기차 화재 예방…하지만 화재 원인은 모른다?,부정
조선비즈,"샤오미, 전기차 첫 공개… “15년내 세계 5대 車제조사 목표”",긍정
파이낸셜뉴스,"[단독] 쿠팡, '로켓차저' 내걸고 전기차 충전사업 뛰어드나",중립
농민신문,"전기차 충전, 협력 넘어 사업자로…농촌 곳곳 인프라 채운다",긍정
한겨레,"전기차 산업, 보조금 아닌 자생력이 필요하다",부정
매일경제,“전기차 시장 ‘섹시’하다고? 냉정한 현실 알아야”,부정
매일경제,글로벌 수요둔화 '먹구름'… 전기차 업종 '급브레이크',부정
연합뉴스,"中정부 지분 25% 이상인 합작회사, 美 전기차 보조금 못받는다(종합2보)",부정
노컷뉴스,전기차 시장 '눈치싸움'에도…현대차그룹은 '뚝심' 행보,중립
연합뉴스,"美 전기차 판매 사상 최대…""연말까지 130만~140만대 예상""",긍정
IT동아,[EV 시대] 전기차 시대…과연 멀어지고 있을까?,중립
지디넷코리아,1년에 3개월은 개점 휴업?…전기차 제조사 울리는 환경부,부정
오토타임즈,"전기차 배터리, 버릴 게 없다",긍정
비즈워치,"토레스 EVX, 가성비 전기차…'힘·공간·가격' 삼박자",긍정
머니투데이,"산업부, 佛 통상장관에 '전기차 보조금' 협조 요청",중립
동아일보,내년 전기차 보조금 대당 100만원 축소… 판매둔화 겹친 업계 한숨,부정
연합뉴스,"인니, '투자약속' 수입전기차에 세제혜택…현지생산 현대차 난색",중립
뉴시스,"현대차, 日 판매 부진…소형 전기차로 반전 노린다",중립
머니투데이,"토요타 회장 ""전기차의 현실 마침내 드러나는 중""",중립
머니투데이,"쌓이는 충전 불만, 더 쌓여가는 전기차 재고",부정
연합뉴스,"""미, 내년 대선 앞두고 중국 전기차 관세 인상 검토""",중립
한국경제,"""480만원 할인 효과""…안 팔리던 전기차, 판매량 '반짝 상승'",긍정
전자신문,"전기차, 중고차 시장서도 '찬밥'…하이브리드차보다 감가율 높아",부정
머니투데이,"브렉시트 했지만…EU-英, 中 우려에 '전기차 관세' 3년 미룬다",중립
노컷뉴스,"美, '전기차 보조금 제외' 세부 규정…곧 내놓는다",중립
디지털타임스,캐스퍼 EV3·4에 중국산 모델3… 내년 `가성비` 전기차 쏟아진다,중립
문화일보,"‘전기차 강화’ 현대차·기아, 역대기록 갈아치우다",긍정
뉴시스,"""배터리까지 중국산""…볼보, 소형전기차 EX30 출시",부정
머니투데이,"국내 전기차 판매 회복세...""할인 및 보조금 확대 영향""",긍정
경향신문,"‘프랑스판 IRA’ 전기차 보조금, 기아 니로·쏘울은 못 받는다",부정
한국경제,"""다들 살까 말까 망설이는데""…美선 전기차 잘 나가는 이유",중립
연합뉴스,"자동차 업계, 예상 밑도는 성장세에 전기차 투자 연기",부정
매일경제,"전기차, 산타랠리 쉽지않겠네…월가 엇갈린 배터리 가격 전망",부정
연합뉴스,"중국, 태국 전기차 시장 공략 속도…자동차연구센터도 설립",긍정
연합뉴스,"'하이브리드 중심' 도요타, 전기차 앞세워 재팬모빌리티쇼 섰다",중립
중앙일보,돈줄 마르자 각국 보조금 폐지・축소…‘저가' 전기차로 방향 틀까,부정
조선일보,"전기차 침체에… LG엔솔·포드, 배터리 합작공장 철회",부정
전자신문,[신차드라이브]포르쉐 마칸 일렉트릭…'극한의 즐거움' 주는 전기차,긍정
조선비즈,"[단독] 현대차, 경차 천국 日에 캐스퍼 전기차 출시",긍정
비즈워치,서킷 달리는 전기차시대…타이어 어떻게 달라질까,중립
전자신문,"현대차 코나 EV, 프랑스 '전기차 보조금' 받는다…기아는 제외",중립
한국경제,"전기차 충전소 늘면 뭐하나…""앱만 몇 개를 까는건지"" 불만 [현장+]",부정
연합뉴스,"건설중인 포드 전기차 배터리 공장, 생산능력·인력 축소",부정
SBS Biz,대표 ‘패밀리카’ 카니발도 하이브리드…내년에도 전기차 vs. 하이브리드,중립
한국경제,"한국 전기차 시장 '바닥' 지났나…""3개월 연속 판매 상승세""",긍정
경기일보,‘집배원 안전은 나중’…우정사업본부 전기차 도입 ‘느릿느릿’,부정
조선일보,"아이오닉5·6, 코나, EV6… 韓전기차 최강 라인 꾸렸더니",긍정
뉴시스,"정의선 회장 ""전기차 수요 늘어난다, 투자 안 줄인다""",긍정
뉴시스,[■□□□] 전기차 시장 힘 떨어졌다,부정
지디넷코리아,"KAMA ""국내 전기차 저점 지났다…9월부터 회복세""",긍정
조선비즈,"제네시스 전기차 GV60, 판매 부진으로 생산 중단",부정
뉴시스,전기차 충전 협의체 활동 시작…충전 효율화 본격 추진,긍정
뉴시스,"폴스타·테슬라 등 '中 전기차' 급증…""韓 보조금 싹쓸이""",부정
연합뉴스,올해 수입 전기차 역대 최다 판매…2만3천251대 팔려,긍정
머니투데이,"""헛소문 제보하면 9억 준다""…中전기차 홍보임원 분노한 이유",부정
연합뉴스,"中 전기차업체 웨이라이 2천700명 감원…""향후 2년 경쟁 격화""",부정
연합뉴스,"'차별' 비판 의식?…佛 ""아시아 전기차 일부도 보조금 가능""",중립
연합뉴스,서울시 '찾아가는 전기차 충전 서비스'…장애인·임산부 우선,중립
머니투데이,"""전기차 부진? 괜찮다""…삼성도 주목했던 NXP의 자신감, 왜",중립
중앙일보,주행거리보다 가성비…내년 ‘3000만원대 전기차’ 각축전,중립
경향신문,"코나 받고, 니로·쏘울 못 받고···프랑스 전기차 보조금 차이 왜?",중립
연합뉴스,'LFP 바람' 타고 中전기차 배터리 한국상륙…수입 110% 급증,긍정
IT동아,전기차 남은 전력으로 가정과 빌딩에 전기 공급한다,긍정
파이낸셜뉴스,"""비싸다"" ""투자 전면 재검토""… 전기차 동력 '방전 위기'",부정
매일경제,"K중기, 사우디에 전기차 클러스터",중립
뉴시스,"""전기차 보조금이 남아돈다""…서울시 전기차 출고 급감",부정
CJB청주방송,"내년 전기차 보조금 예산 축소..업계 ""저가형 전기차·다양한 라인업으로 승부""",부정
연합뉴스,전기차 충전업체 '수익성 덫'…올해 주가는 반토막 이하 '수모',부정
JIBS,[댓글뒤끝] 불 나면 1000℃ '열폭주' 전기차.. 제주 지하주차장 안전은 지금?,부정
지디넷코리아,"샤오미 ""첫 전기차에 1.8조 원 투자…10배 규모""",중립
연합뉴스,아파트 주차장 전기차 화재 대응요령은…매뉴얼 발간,중립
KBS,중국산 전기차 칼 겨눈 EU…중국과 접점 찾을까? [특파원 리포트],부정
오토타임즈,"국내 전기차 판매, 9월 이후 회복세",긍정
한국경제,"""전기차 60만대 독식""…LG화학, 美 최대 양극재 공장 착공",긍정
머니투데이,전기차 성장 둔화에 배터리 '합작 공장' 숨고르기...경쟁력 강화 초점,중립
한겨레,"[현장] 전기차가 뒤바꾼 풍경…중국 BYD ‘여유’, 일본 업체 ‘추격’",중립
중앙일보,"갑진년 보급형 전기차 쏟아진다...""하이브리드와 한판 승부""",중립
주간동아,싸야 팔린다… 중소형 전기차 전성시대,긍정
KBS,횡성 ‘디피코’ 회생 불투명…전기차 업체 투자 철회,부정
매일경제,"""전기차 멀미 없어요"" 회생제동 모드에도 승차감 굿",긍정
연합뉴스,미국 내 전기차 재고 사상 최대…작년의 두배,긍정
지디넷코리아,"‘나트륨 배터리 탑재’ 세계 최초 전기차, 새해 1월 출시",긍정
한국경제,"""中전기차, 스파이車 활용 안돼""…美 안보위협에 규제강화 전망",부정
연합뉴스,'움직이는 충전소'된 전기차…고용량·고밀도 NCM 배터리 재조명,중립
파이낸셜뉴스,'최대 호황 車 시장' 내수는 'SUV·하이브리드'..수출은 '전기차'가 효자,중립
KBS,샤오미 첫 전기차 공개…‘세계 1위’ 중국 전기차 시장 재편,중립
연합뉴스,"""2020년 대선 때 바이든 많이 찍었던 주, 전기차도 많이 샀다""",긍정
중앙일보,"""중고 전기차 헐값, 차주들 충격""…보조금 신청도 확 줄었다",부정
연합뉴스,"中전기차 지커·로터스, 뉴욕 상장 추진…'다른 행보' 눈길",중립
연합뉴스,소방청 내년 예산 3천404억원…전기차 사고 대응사업 신규 편성,중립
연합뉴스,"中전기차 니오 ""2027년까지 인력 30%, AI·로봇으로 대체""",부정
한국경제,"정의선 ""'100년 기업' 꿈 꾼다""…울산공장 '전기차 허브' 탈바꿈",긍정
한국경제,보급형 기다리는 소비자들…전기차 '죽음의 계곡' 빠지나,부정
데일리안,"전기차, 장거리갈 때 걱정된다고요?",부정
kbc광주방송,'경제 어려워도..' 올해 수입 전기차 역대 최다 판매,긍정
국민일보,"中 BYD, 헝가리에 전기차 공장 세운다… “유럽 향한 발걸음”",긍정
전자신문,[신차드라이브] 업그레이드 폴스타2 “전기차 얼리어답터 마음 잡는다”,긍정
한국경제,"""전기차 가격 후려치기, 정말 잔인하다""…벤츠의 호소",부정
머니투데이,"전기차 맞아?…'폭스바겐 간판' 부드러운 주행, 가성비도 갖췄네[시승기]",긍정
매일경제,BMW 5시리즈 첫 순수 전기차…서울서 부산까지도 거뜬,긍정
데일리안,"[시승기] 폭스바겐 ID.4, 전기차 기준 높이는 욕심쟁이 독일 모범생",긍정
조선비즈,가격 비싸고 충전 불편… 대중화 문턱에 걸린 전기차,부정
뉴시스,"""전기차 1위는 어디?""…테슬라-비야디 불붙은 경쟁",중립
연합뉴스,전기차 시장 성장세 둔화 조짐…배터리업계 숨고르기 나서나,부정
한국경제,"""가격 깎아줘도 재고 남아돈다""…잘나가던 전기차 '초비상'",부정
연합뉴스,"미국, 내년 대선 앞두고 中 전기차 관세 인상 검토…中 강력반발(종합)",부정
시사IN,그 많던 전기차는 왜 사라졌을까? [여여한 독서],부정
머니투데이,"""완전고용 대박 났다""…전기차 등장에 웃는 나라들, 어디?",긍정
세계일보,“보조금 100% 받자”… 전기차 가격 낮추기에 ‘사활’,부정
한국경제,"""동급 전기차 중 최고"" 자신감…1000만원 싸게 내놨다 '파격'",긍정
매일경제,"“전기차 안 팔려서···” 포드, 건설 중인 미시간 공장 확 줄이기로",부정
뉴시스,현대차그룹에서 유일하게 인기 유지한 전기차는?,중립
매일경제,전기차 감성에 높은 연비 … 출퇴근에 딱,긍정
한국경제,'미스터 에브리싱' 빈 살만의 다음 목표는…세계 전기차 허브,긍정
지디넷코리아,"혼다 ""2030년 전기차 200만대 생산…배터리 내재화 본격 가동""",긍정
한국경제,저렴한 가격 통했다…한 달새 '1300대 판매' 대박 난 전기차,긍정
뉴시스,"英정부, '전기차 전환' 2030→2035년 연기…車업체들 '분노'",부정
한국경제,"IRA로는 부족?…美 ""中 전기차·배터리팩 등 관세 인상 검토""",중립
머니투데이,서울 전기차 판매승인 3일→3시간 간소화..전국 최초 온라인 신청,긍정
중앙일보,"전기차 보급, 목표의 반도 못 채웠다…보조금 남아도 사업 종료",부정
연합뉴스,"BYD 부총재 ""中 전기차 시장 지속 성장 전망…韓과 협력 필요""",중립
SBS Biz,"전기차, 겨울잠 자고 '몸값' 낮춰 봄 출격 채비",중립
KBS,충전 중 전기차에서 연기 솔솔…“배터리 과충전 막아야”,부정
로피시엘 코리아,"한성자동차, 전기차 SUV 오프로드 드라이빙 이벤트 성료",긍정
연합뉴스,'전기차의 섬' 제주에 폐배터리 재활용 기반 마련한다,중립
머니투데이,佛 전기차 보조금 차량 78개 중 77개 유럽산…정부 이의제기한다,부정
매일경제,[단독] “보조금 받고 전기차 샀으면 8년은 타라”…의무기간 늘린다,부정
쿠키뉴스,늘어난 전기차 부족한 배려…송석준 ‘교통약자’ 보호 [법리남],부정
IT동아,[그때 그 IT] 모빌리티 판례 (2) 전기차 배터리 화재사고 손해배상,중립
매일경제,전기차 수요줄자 … K배터리 해외공장 '몸살',부정
조선비즈,전기차 투자 속속 연기… 잘 나가던 배터리도 주춤,부정
파이낸셜뉴스,'2000만원 할인'도 안통하던 국내 전기차..'수출'은 씽씽,중립
연합뉴스,'니로' 제외된 프랑스 새 전기차 보조금 제도…민관합동 대응,중립
더스쿠프,"막 오른 반값 전기차 전쟁 ""테슬라 기다려!"" [분석+]",긍정
조선비즈,"전기차 산업 영향력 넓히는 中… “韓, 자생력 못 키우면 도태”",부정
한겨레,전기차 늘며 숙제 된 배터리 재활용…중국산 처리가 관건,중립
뉴시스,일본 내 수입 전기차 판매 '꿈틀'…전년대비 40% 증가,긍정
매일경제,"“전기차 때문에 다 죽겠다, 벌써 1000곳 폐업”…카센터, ‘정의로운 지원’ 촉구",부정
전자신문,[스페셜리포트]새해 신차 60종 출격…3대 중 1대 전기차,긍정
뉴시스,"""배기통 없애자""…모든 이동수단의 '전동화'[전기차 2.0 시대-①]",중립
매일경제,'세단의 왕' 제네시스 … 전기차는 수입차에 밀리네,부정
뉴시스,"GGM, 전기차 생산시설 구축 마무리… 시운전 진행",긍정
KBS,[여기는 원주] 횡성 ‘디피코’ 회생 불투명…전기차 업체 투자 철회,부정
머니투데이,"전기차에 돈 쏟아붓더니…""생산 계획 철회"" 물러선 제조사들, 왜?",부정
오토타임즈,[하이빔]전기차 충전이 불편? 주행거리 확대로 승부,중립
비즈워치,'전기차 배터리에 불 붙이는 사람들'…극한테스트 하는 이유는,부정
스타투데이,"“세계서 인정”... 김대호→초아, 한국 전기차 기술력에 ‘감탄’ (‘카 투 더 퓨처’) [종합]",긍정
SBS,중고 전기차 사려는데 가격이 '복불복'…'표준'이 없다,부정
국민일보,전기차 ‘눈물의 할인’ 중… 사려면 지금이 적기,긍정
동아일보,"[단독]전기차 LFP배터리에 재활용-폐기물 부담금 추진… 中 배터리 겨냥 규제, ‘공급망 안보’ 재정비",중립
SBS,"""어떻게 충전해"" 추워질수록 난감…전기차 성능·정책 '엇박자'",부정
매일경제,"전기차 충전사업 활발...해외 노리는 롯데, 오프라인 거점 확대하는 신세계",긍정
주간동아,강한 전기차들이 몰려온다,긍정
JTBC,'같은 가격이면 프리미엄 브랜드'…힘 못 쓰는 국산 전기차,부정
연합뉴스,"中 재계, EU의 전기차보조금 조사 비판…관련주 주가 약세",부정
전주MBC,"""전기차 불나면 어떡하려고"".. 진화 장비 여전히 부족",부정
헬스조선,"전기차만 타면 멀미하는 나, 기분 탓 아니었다 [이거레알?]",부정
뉴시스,전기차·하이브리드·SUV…기후위기 대안은?,중립
머니투데이,비싼 전기차가 잘팔려서...복잡해진 K배터리 유럽 공략법,중립
쿠키뉴스,탄소 줄인다던 전기차…“타이어 마모 속도는 더 빨라”,부정
매일경제,"중간에 멈출까 ‘전기긍긍’ 그만…전기차 더 멀리, 더 오래 달린다",긍정
노컷뉴스,"""탄력받은 하이브리드""…전기차 이어 경유차도 넘는다",긍정
지디넷코리아,"LG전자, 美 전기차 충전기 시장 진출 채비…UL 인증 획득",긍정
국민일보,"‘배터리 얻다 써, 안사요 안사’… 중고 전기차 가격 뚝뚝",부정
한국경제,'보조금 100%' 받는다…4000만원대 수입 전기차 '관심 폭발',긍정
파이낸셜뉴스,일론 머스크의 계략? 테슬라 제외 생존 걱정하는 美 전기차 기업들,부정
노컷뉴스,"""전기차 급증에""…배터리 재활용 시장, 2040년 272조원 전망",긍정
시사저널,"‘한국 생산’ 전기차 보조금 제외…정부, 프랑스에 이의제기",부정
파이낸셜뉴스,中 전기차 막겠다는 ‘프랑스판 IRA’… 한국車 수출에 불똥 [FN 모빌리티],부정
연합뉴스,"정의선 ""어차피 전기차 수요 계속 늘어…운영의 묘 살릴 것""",긍정
뉴시스,"尹 중동 순방…""에너지·전기차·방산 협력 확대 기대""",긍정
지디넷코리아,"현대차, 泰 전기차 투자 압박 심해져…""상황 지켜봐야""",중립
연합뉴스,배터리용 광물값 급락에 미 전기차 속도전 '급제동' 우려,부정
연합뉴스,"프랑스 '한국 생산' 전기차 보조금 제외에 정부 ""재평가 요구""",중립
연합뉴스,시장 불확실성 커졌지만…1∼10월 전기차 배터리 사용량 44%↑,중립
머니투데이,"""中전기차 관세 더"" 美도 초기 진압 시동",부정
조선일보,"가로등도 못켜던 디트로이트, 전기차 갈아타고 부활의 질주",긍정
YTN,중국산 테슬라 지난달 '돌풍'...국산 전기차 긴장,부정
한국경제TV,전기차 안 팔린다…보조금 다시 확대,부정
뉴시스,"""아파트서 전기차 불났을 땐 이렇게""…국토부·LH, 매뉴얼 발간",중립
연합뉴스,'빅맥 사고 충전까지'…프랑스 맥도날드에 전기차 충전기,중립
연합뉴스,"美, 다음달 1일께 '전기차 보조금 제외' 외국우려기업 규정 발표",중립
경향신문,‘디젤차→전기차 전환기’ 주목받는 ‘LPG 1톤 트럭’···탄소 배출 어쩌나,중립
YTN,"전기차 화재 사고 해마다 증가...""과충전·급속충전 금물""",부정
중앙일보,"獨, 코로나 예산 전용 '위헌' 판결에…전기차 보조금 지원 중단",부정
YTN,불붙으면 '활활' 전기차 불안...배터리 안전 검증 강화,부정
매일경제,전기차 소재 영토확장 … 체질 바꾼 LS전선,중립
머니투데이,"비싸고 충전도 난감…美, 전기차 밀어도 내닫는 하이브리드",부정
한겨레,전기차 수요 둔화에 투자 감속…차·배터리 업계 한파 오나,부정
조선비즈,아이오닉5도 특근 없다… 보조금 끝나니 전기차 생산 ‘뚝’,부정
연합뉴스,전기차 수요 기대만큼 많지 않아…업체들 전략 수정 나서,부정
동아일보,"中전기차 니오, 1억 넘는 프리미엄카 공개",긍정
한국경제TV,"전기차 충전업체 주가 반토막...""수익성 딜레마""",부정
머니투데이,"""스마트폰 끝물, 이젠 EV""…아이폰의 폭스콘, 전기차 생산 목맨다",부정
SBS Biz,전기차 옥석 가리기…현대차 추격? 동반 주춤?,중립
더팩트,내연기관 단종 '릴레이'…전기차 지금 사도 되나?,중립
YTN,전기차 수요 부진 여파...숨 고르기 들어간 'K-배터리',부정
뉴시스,"완성차업계, 전기차 '게임체인저' 경쟁 뜨겁다[전기차 2.0 시대-②]",긍정
머니투데이,원가 하락에 뛰어오른 타이어 주가…전기차 타이어 바꿀 때 온다,중립
동아일보,[단독]전기차 정체에… LG 이어 SK도 배터리 수장 교체,부정
